Date,Precip,Air max,min,RH max,min
20180725,0,79,67,95,71
20180726,0.06,77,66,97,75
20180727,0.14,87,66,94,61
20180728,0.09,77,68,93,71
20180729,0.15,88,68,92,39
20180730,0,83,69,93,64
20180731,0.02,83,69,93,54
20180801,0.01,85,70,89,53
20180802,0.06,84,69,92,57
20180803,0,84,69,95,67
20180804,0.02,83,67,95,65
20180805,0.01,83,67,95,61
20180806,0,85,67,95,57
20180807,0.01,90,69,97,36
20180808,0,90,70,,
20180809,0.02,90,74,,
20180810,0,89,74,,
20180811,0.01,87,72,93,48
20180812,0.02,83,69,94,62
20180813,0.02,80,68,95,59
20180814,0.03,80,67,90,66
20180815,0.01,79,68,90,70
20180816,0.04,79,68,90,72
20180817,0,80,70,88,71
20180818,0,81,70,93,69
20180819,0.02,80,68,91,68
20180820,0.02,79,68,90,69
20180821,0.01,80,70,88,64
20180822,0,81,69,86,66
20180823,0,79,68,88,65
20180824,0,77,67,87,64
20180825,0.02,78,68,84,64
20180826,0.01,78,65,92,63
20180827,0,77,65,91,63
20180828,0,78,64,90,63
20180829,0,82,65,93,62
20180830,0,83,65,95,55
20180831,0,79,64,95,64
20180901,0.01,74,65,94,69
20180902,0,75,66,86,64
20180903,0,77,66,86,67
20180904,0,74,66,89,74
20180905,0,78,66,87,65
20180906,0,75,66,92,71
20180907,0,77,65,94,73
20180908,0,84,64,98,63
20180909,0.01,76,63,99,74
20180910,0,77,60,95,67
20180911,0,76,61,92,64
20180912,0,78,63,93,62
20180913,0,79,62,94,65
20180914,0,86,63,96,38
20180915,0,81,65,97,51
20180916,0,81,63,97,57
20180917,0,81,62,95,58
20180918,0.01,80,55,,
20180919,0.02,63,61,96,61
20180920,0,71,61,95,70
20180921,0,76,58,93,66
20180922,0,79,63,96,68
20180923,0,75,64,96,71
20180924,0,69,64,87,75
20180925,0,74,64,88,67
20180926,0,74,65,90,72
20180927,0,76,62,96,71
20180928,0,74,64,95,67
20180929,0,77,63,91,58
20180930,0,82,63,91,60
20181001,0,88,68,82,44
20181002,0,77,65,92,57
20181003,0,77,64,95,56
20181004,0,76,65,93,66
20181005,0.01,74,63,96,66
20181006,0,70,62,93,73
20181007,0.01,72,60,92,68
20181008,0,73,58,94,64
20181009,0,73,60,91,61
20181010,0,71,57,85,60
20181011,0,74,61,77,49
20181012,0.14,73,57,95,58
20181013,0.33,72,59,96,63
20181014,0,73,59,91,59
20181015,0,79,58,95,11
20181016,0,78,54,78,13
20181017,0,80,56,52,21
20181018,0,82,56,57,25
20181019,0,86,58,47,19
20181020,0,85,61,85,19
20181021,0,76,58,95,49
20181022,0,71,61,90,66
20181023,0,72,60,92,70
20181024,0,73,61,96,68
20181025,0,76,60,96,61
20181026,0.01,80,53,,
20181027,0.01,84,53,,
20181028,0.01,78,53,,
20181029,0.01,82,56,,
20181030,0,72,56,,
20181031,0,79,53,,
20181101,0,82,51,,
20181102,0,88,52,,
20181103,0,86,54,,
20181104,0,80,52,,
20181105,0.01,74,49,,
20181106,0,74,61,,
20181107,0,71,59,,
20181108,0,73,52,,
20181109,0,80,47,,
20181110,0,81,48,,
20181111,0,76,46,,
20181112,0,78,41,,
20181113,0,79,45,,
20181114,0,79,49,,
20181115,0,77,45,,
20181116,0,76,45,,
20181117,0,74,46,,
20181118,0,74,46,,
20181119,0.01,74,45,,
20181120,0,69,49,,
20181121,0,67,57,,
20181122,0.19,68,50,,
20181123,0,69,50,,
20181124,0,69,52,,
20181125,0,73,50,,
20181126,0,77,49,,
20181127,0,76,46,,
20181128,0,62,58,,
20181129,0.81,63,57,99,71
20181130,0.19,65,57,92,63
20181201,0.02,66,53,87,60
20181202,0,63,49,70,44
20181203,0,69,46,76,26
20181204,0,71,49,90,23
20181205,0.53,64,45,96,47
20181206,0.74,66,54,97,75
20181207,0.57,68,53,94,57
20181208,0.06,70,51,93,51
20181209,0.04,72,50,87,48
20181210,0.03,68,52,97,48
20181211,0.03,66,52,98,66
20181212,0.02,64,51,95,66
20181213,0.01,79,49,98,21
20181214,0.01,70,51,88,22
20181215,0,70,50,89,31
20181216,0,71,46,96,50
20181217,0,66,53,97,63
20181218,0,67,52,96,67
20181219,0,71,50,98,51
20181220,0,73,48,99,34
20181221,0,65,50,100,67
20181222,0,69,47,99,51
20181223,0,66,51,100,68
20181224,0.01,64,51,100,72
20181225,0.19,60,48,97,71
20181226,0.02,64,47,93,56
20181227,0.06,66,45,,
20181228,0.01,62,42,92,20
20181229,0,61,39,57,20
20181230,0,63,43,82,35
20181231,0.13,61,46,91,67
20190101,0.03,59,41,80,17
20190102,0,61,36,55,16
20190103,0,62,39,67,18
20190104,0,64,39,73,25
20190105,0.12,59,49,96,43
20190106,0.11,62,49,98,59
20190107,0.02,65,44,91,44
20190108,0.01,70,49,88,40
20190109,0,66,48,93,66
20190110,0,64,51,96,69
20190111,0,60,47,100,78
20190112,0.48,62,48,96,69
20190113,0,60,47,94,67
20190114,0.5,59,52,97,60
20190115,0.27,63,54,97,68
20190116,0.13,69,56,97,56
20190117,0.28,62,57,100,80
20190118,0.01,64,54,100,78
20190119,0,72,49,98,42
20190120,0,74,53,97,37
20190121,0.02,61,50,97,46
20190122,0,66,45,86,31
20190123,0,67,42,69,20
20190124,0,74,45,71,25
20190125,0,75,47,55,19
20190126,0,80,51,55,16
20190127,0,77,51,46,18
20190128,0,75,49,97,28
20190129,0,67,50,100,60
20190130,0,65,54,94,66
20190131,0.73,63,51,98,73
20190201,0.02,63,49,99,68
20190202,0.82,65,50,98,59
20190203,0.03,63,48,96,64
20190204,0.9,62,52,96,74
20190205,0.29,58,49,96,58
